Kepler ID,Teff
2141928,4636
2141932,4418
2141938,
2141950,4539
2141959,5375
2142026,5436
2142052,5446
2142070,5930
2142074,5096
2142080,6062
2142091,4850
2142095,4757
2142111,4302
2142183,4589
2142186,4819
2142191,
2142244,
2142272,5371
2142279,5210
2142280,4598
2142372,3801
2142405,4961
2142433,
2142451,3684
2142490,
2142501,
2142508,4618
2142522,6046
2142575,
2142628,
2142633,5118
2142657,5135
2142663,5136
2142669,5098
2142675,4883
2142730,5824
2142733,4453
2142778,5489
2142913,5666
2154965,5382
2154980,5350
2155012,6309
2155064,5937
2155080,6841
2155148,4982
2155156,5020
2155220,4843
2155278,5084
2155343,6662
2155467,4577
2155506,
2155869,4659
2156061,4085
2156069,5631
2156072,4984
2156074,5049
2156089,5392
2156121,5348
2156123,6318
2156155,5050
2156178,4918
2156245,6234
2156343,6588
2156404,6344
2156425,6389
2156435,5683
2156488,5945
2156490,5677
2156514,
2156529,5461
2156537,5925
2156545,4186
2156550,5841
2156581,9079
2156669,5757
2156685,5185
2156693,5690
2156718,4176
2156720,5440
2156733,5446
2156757,
2156782,4424
2156807,4947
2156809,5408
2156839,6098
2156848,4862
2156879,6083
2156906,5895
2156933,5880
2156939,
2156965,5589
2156988,4728
2156992,5562
2156998,6007
2157008,5419
2157024,5860
2157059,4494
2157135,6334
2157184,
2157192,
2157208,5994
2157213,4753
2157247,5791
2157290,5537
2157305,4875
2157356,3813
2157418,5352
2157428,5267
2157489,7501
2157495,5651
2157508,5051
2157519,5328
2157524,6012
2157526,5584
2157600,5761
2157602,5996
2157630,6122
2157650,4783
2157676,4724
2157725,4872
2157759,5899
2157776,5097
2157788,5940
2157841,7888
2157901,4754
2157905,5540
2157928,4765
2157948,5380
2157949,5342
2157953,5567
2157964,4634
2157979,
2157986,5146
2158027,6043
2158047,5124
2158059,5144
2158067,6063
2158076,5843
2158190,8060
2158208,
2158221,5595
2158237,5697
2158238,6207
2158278,5697
2158336,
2158352,4912
2158410,4963
2158433,5392
2158460,5849
2158534,5662
2158543,4838
2158548,5755
2158566,5254
2158641,5559
2158750,6135
2158770,
2158781,
2158815,4861
2158850,6093
2158868,5830
2158882,5437
2158923,4659
2159018,4363
2159033,5643
2159073,5731
2159129,6027
2159132,5181
2159257,5118
2159290,4330
2159320,5613
2159370,5396
2159377,
2159447,5919
2159449,5276
2159486,4743
2159499,5845
2159674,6165
2159700,3686
2159713,6292
2159728,4629
2159751,4647
2159783,5643
2159823,5402
2159834,6296
2159842,
2159852,6417
2159864,5048
2160105,4352
2160161,4888
2160275,4559
2160289,5194
2160553,3817
2160572,4756
2160685,5995
2160771,5218
2160779,4815
2160809,6225
2160839,5675
2160857,5477
2160901,4590
2160910,4892
2160919,6200
2161017,5362
2161064,6069
2161177,5801
2161250,5831
2161283,5728
2161393,5546
2161400,5651
2161407,4659
2161409,4662
2161463,6225
2161515,5824
2161532,5851
2161536,4013
2161569,4303
2161623,6507
2161648,4750
2161731,4929
2161831,4779
2161864,4117
2161949,5459
2161974,4684
2161984,5788
2162064,5972
2162070,3204
2162073,5011
2162103,5519
2162142,5129
2162160,4958
2162241,5650
2162268,4626
2162283,6683
2162333,4398
2162355,4695
2162377,5540
2162435,
2162486,4771
2162543,4085
2162635,4787
2162673,5720
2162721,5295
2162904,7123
2162907,3924
2162994,5410
2163052,6014
2163101,4112
2163121,4866
2163201,4989
2163223,5302
2163226,6042
2163301,5645
2163326,5424
2163351,
2163434,4592
2163444,4709
2163457,5200
2163489,5192
2163554,5474
2163597,4682
2163605,4724
2163610,4023
2163612,
2163634,4371
2163636,6243
2163644,5745
2163666,5785
2163706,5399
2163708,5801
2163798,6121
2163808,5521
2163829,3935
2163856,4914
2163875,4794
2163894,4682
2163896,
2163926,5802
2163940,4358
2163957,5777
